name,yi,ky,crime,medical,school,house
강릉시,38.3737661,128.4088506,80.0,182,60,26.26428571
고성군,38.2018879,128.547049,84.5,30,23,13
동해시,37.7112111,127.8935881,85.0,135,27,17.72962963
삼척시,38.0425571,128.5622801,84.0,69,42,16.77777778
속초시,37.7097993,128.8392226,81.5,111,19,25.23076923
양구군,37.4992616,129.0729232,86.0,15,19,6.76
양양군,37.3023355,129.1323553,81.5,15,24,12.96666667
영월군,37.1565301,128.9908398,85.5,40,35,8.322222222
원주시,37.168844,128.4720729,79.0,342,88,34.56666667
인제군,37.353892,128.6767887,87.0,21,28,10.55
정선군,37.4414258,128.4350738,87.5,21,29,14.05555556
철원군,37.4690588,128.0851241,85.5,44,26,9
춘천시,37.3196018,127.9655028,77.0,218,75,39.89736842
태백시,38.0038272,128.1855733,89.5,32,23,9.533333333
평창군,37.9179852,127.6954686,87.0,59,32,10.4875
홍천군,38.12479,127.9880937,88.0,60,48,11.11
화천군,38.1279572,127.6901855,89.0,17,21,8.6
횡성군,38.2295423,127.3570059,81.5,50,36,11.44444444
